,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,200,25,29,1142,0.8888888888888888,0.8733624454148472,0.12663755458515283,0.1111111111111111
1,Wireless Connectivity,241,175,66,40,1115,0.7261410788381742,0.813953488372093,0.18604651162790697,0.27385892116182575
2,Windows Compatibility,132,116,16,13,1251,0.8787878787878788,0.8992248062015504,0.10077519379844961,0.12121212121212122
3,Selling Price,84,65,19,12,1300,0.7738095238095238,0.8441558441558441,0.15584415584415584,0.2261904761904762
4,Paper Feed,81,61,20,29,1286,0.7530864197530864,0.6777777777777778,0.32222222222222224,0.24691358024691357
5,Overall Print Quality,121,75,46,28,1247,0.6198347107438017,0.7281553398058253,0.27184466019417475,0.38016528925619836
6,Non-specific/Unknown,109,89,20,16,1271,0.8165137614678899,0.8476190476190476,0.1523809523809524,0.1834862385321101
7,iOS Compatibility,105,88,17,4,1287,0.8380952380952381,0.9565217391304348,0.043478260869565216,0.1619047619047619
8,Ink Consumption,123,84,39,14,1259,0.6829268292682927,0.8571428571428571,0.14285714285714285,0.3170731707317073
9,Competitor Product Comparison,87,70,17,12,1297,0.8045977011494253,0.8536585365853658,0.14634146341463414,0.19540229885057472
10,Audible Noise,90,59,31,19,1287,0.6555555555555556,0.7564102564102564,0.24358974358974358,0.34444444444444444
11,Overall Customer Service,76,65,11,15,1305,0.8552631578947368,0.8125,0.1875,0.14473684210526316
12,Cloud Connectivity,44,30,14,24,1328,0.6818181818181818,0.5555555555555556,0.4444444444444444,0.3181818181818182
13,Paper Jam,31,14,17,6,1359,0.45161290322580644,0.7,0.3,0.5483870967741935
14,Color Print Quality,46,22,24,6,1344,0.4782608695652174,0.7857142857142857,0.21428571428571427,0.5217391304347826
15,Monochrome Print Quality,32,16,16,4,1360,0.5,0.8,0.2,0.5
16,Build Quality,78,58,20,80,1238,0.7435897435897436,0.42028985507246375,0.5797101449275363,0.2564102564102564
17,Print Speed,49,19,30,5,1342,0.3877551020408163,0.7916666666666666,0.20833333333333334,0.6122448979591837
18,CD/DVD Printing,8,1,7,1,1387,0.125,0.5,0.5,0.875
19,Initialization Speed,70,47,23,23,1303,0.6714285714285714,0.6714285714285714,0.32857142857142857,0.32857142857142857
20,Driver Performance,46,36,10,14,1336,0.782608695652174,0.72,0.28,0.21739130434782608
