,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,211,14,22,1149,0.9377777777777778,0.9055793991416309,0.0944206008583691,0.06222222222222222
1,Wireless Connectivity,241,188,53,37,1118,0.7800829875518672,0.8355555555555556,0.16444444444444445,0.21991701244813278
2,Windows Compatibility,132,124,8,7,1257,0.9393939393939394,0.9465648854961832,0.05343511450381679,0.06060606060606061
3,Selling Price,84,69,15,14,1298,0.8214285714285714,0.8313253012048193,0.1686746987951807,0.17857142857142858
4,Paper Feed,81,57,24,16,1299,0.7037037037037037,0.7808219178082192,0.2191780821917808,0.2962962962962963
5,Overall Print Quality,121,93,28,40,1235,0.768595041322314,0.6992481203007519,0.3007518796992481,0.23140495867768596
6,Non-specific/Unknown,109,94,15,3,1284,0.8623853211009175,0.9690721649484536,0.030927835051546393,0.13761467889908258
7,iOS Compatibility,105,93,12,5,1286,0.8857142857142857,0.9489795918367347,0.05102040816326531,0.11428571428571428
8,Ink Consumption,123,102,21,17,1256,0.8292682926829268,0.8571428571428571,0.14285714285714285,0.17073170731707318
9,Competitor Product Comparison,87,78,9,3,1306,0.896551724137931,0.9629629629629629,0.037037037037037035,0.10344827586206896
10,Audible Noise,90,61,29,10,1296,0.6777777777777778,0.8591549295774648,0.14084507042253522,0.32222222222222224
11,Overall Customer Service,76,64,12,7,1313,0.8421052631578947,0.9014084507042254,0.09859154929577464,0.15789473684210525
12,Cloud Connectivity,44,30,14,3,1349,0.6818181818181818,0.9090909090909091,0.09090909090909091,0.3181818181818182
13,Paper Jam,31,19,12,4,1361,0.6129032258064516,0.8260869565217391,0.17391304347826086,0.3870967741935484
14,Color Print Quality,46,26,20,10,1340,0.5652173913043478,0.7222222222222222,0.2777777777777778,0.43478260869565216
15,Monochrome Print Quality,32,17,15,5,1359,0.53125,0.7727272727272727,0.22727272727272727,0.46875
16,Build Quality,78,53,25,31,1287,0.6794871794871795,0.6309523809523809,0.36904761904761907,0.32051282051282054
17,Print Speed,49,18,31,5,1342,0.3673469387755102,0.782608695652174,0.21739130434782608,0.6326530612244898
18,CD/DVD Printing,8,1,7,5,1383,0.125,0.16666666666666666,0.8333333333333334,0.875
19,Initialization Speed,70,53,17,17,1309,0.7571428571428571,0.7571428571428571,0.24285714285714285,0.24285714285714285
20,Driver Performance,46,36,10,6,1344,0.782608695652174,0.8571428571428571,0.14285714285714285,0.21739130434782608
