,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,206,19,19,1152,0.9155555555555556,0.9155555555555556,0.08444444444444445,0.08444444444444445
1,Wireless Connectivity,241,187,54,38,1117,0.7759336099585062,0.8311111111111111,0.1688888888888889,0.22406639004149378
2,Windows Compatibility,132,121,11,3,1261,0.9166666666666666,0.9758064516129032,0.024193548387096774,0.08333333333333333
3,Selling Price,84,63,21,12,1300,0.75,0.84,0.16,0.25
4,Paper Feed,81,68,13,26,1289,0.8395061728395061,0.723404255319149,0.2765957446808511,0.16049382716049382
5,Overall Print Quality,121,86,35,51,1224,0.7107438016528925,0.6277372262773723,0.3722627737226277,0.2892561983471074
6,Non-specific/Unknown,109,97,12,4,1283,0.8899082568807339,0.9603960396039604,0.039603960396039604,0.11009174311926606
7,iOS Compatibility,105,95,10,3,1288,0.9047619047619048,0.9693877551020408,0.030612244897959183,0.09523809523809523
8,Ink Consumption,123,97,26,23,1250,0.7886178861788617,0.8083333333333333,0.19166666666666668,0.21138211382113822
9,Competitor Product Comparison,87,78,9,0,1309,0.896551724137931,1.0,0.0,0.10344827586206896
10,Audible Noise,90,69,21,15,1291,0.7666666666666667,0.8214285714285714,0.17857142857142858,0.23333333333333334
11,Overall Customer Service,76,69,7,12,1308,0.9078947368421053,0.8518518518518519,0.14814814814814814,0.09210526315789473
12,Cloud Connectivity,44,27,17,8,1344,0.6136363636363636,0.7714285714285715,0.22857142857142856,0.38636363636363635
13,Paper Jam,31,16,15,1,1364,0.5161290322580645,0.9411764705882353,0.058823529411764705,0.4838709677419355
14,Color Print Quality,46,17,29,6,1344,0.3695652173913043,0.7391304347826086,0.2608695652173913,0.6304347826086957
15,Monochrome Print Quality,32,14,18,7,1357,0.4375,0.6666666666666666,0.3333333333333333,0.5625
16,Build Quality,78,36,42,27,1291,0.46153846153846156,0.5714285714285714,0.42857142857142855,0.5384615384615384
17,Print Speed,49,28,21,19,1328,0.5714285714285714,0.5957446808510638,0.40425531914893614,0.42857142857142855
18,CD/DVD Printing,8,0,8,1,1387,0.0,0.0,1.0,1.0
19,Initialization Speed,70,56,14,15,1311,0.8,0.7887323943661971,0.2112676056338028,0.2
20,Driver Performance,46,36,10,7,1343,0.782608695652174,0.8372093023255814,0.16279069767441862,0.21739130434782608
