,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,203,22,18,1153,0.9022222222222223,0.918552036199095,0.08144796380090498,0.09777777777777778
1,Wireless Connectivity,241,195,46,39,1116,0.8091286307053942,0.8333333333333334,0.16666666666666666,0.1908713692946058
2,Windows Compatibility,132,114,18,6,1258,0.8636363636363636,0.95,0.05,0.13636363636363635
3,Selling Price,84,63,21,11,1301,0.75,0.8513513513513513,0.14864864864864866,0.25
4,Paper Feed,81,59,22,30,1285,0.7283950617283951,0.6629213483146067,0.33707865168539325,0.2716049382716049
5,Overall Print Quality,121,91,30,47,1228,0.7520661157024794,0.6594202898550725,0.34057971014492755,0.24793388429752067
6,Non-specific/Unknown,109,87,22,8,1279,0.7981651376146789,0.9157894736842105,0.08421052631578947,0.2018348623853211
7,iOS Compatibility,105,74,31,6,1285,0.7047619047619048,0.925,0.075,0.29523809523809524
8,Ink Consumption,123,100,23,20,1253,0.8130081300813008,0.8333333333333334,0.16666666666666666,0.18699186991869918
9,Competitor Product Comparison,87,72,15,10,1299,0.8275862068965517,0.8780487804878049,0.12195121951219512,0.1724137931034483
10,Audible Noise,90,63,27,7,1299,0.7,0.9,0.1,0.3
11,Overall Customer Service,76,63,13,8,1312,0.8289473684210527,0.8873239436619719,0.11267605633802817,0.17105263157894737
12,Cloud Connectivity,44,22,22,7,1345,0.5,0.7586206896551724,0.2413793103448276,0.5
13,Paper Jam,31,20,11,15,1350,0.6451612903225806,0.5714285714285714,0.42857142857142855,0.3548387096774194
14,Color Print Quality,46,28,18,13,1337,0.6086956521739131,0.6829268292682927,0.3170731707317073,0.391304347826087
15,Monochrome Print Quality,32,13,19,3,1361,0.40625,0.8125,0.1875,0.59375
16,Build Quality,78,45,33,18,1300,0.5769230769230769,0.7142857142857143,0.2857142857142857,0.4230769230769231
17,Print Speed,49,28,21,10,1337,0.5714285714285714,0.7368421052631579,0.2631578947368421,0.42857142857142855
18,CD/DVD Printing,8,4,4,7,1381,0.5,0.36363636363636365,0.6363636363636364,0.5
19,Initialization Speed,70,45,25,16,1310,0.6428571428571429,0.7377049180327869,0.26229508196721313,0.35714285714285715
20,Driver Performance,46,38,8,14,1336,0.8260869565217391,0.7307692307692307,0.2692307692307692,0.17391304347826086
