,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,200,25,39,1132,0.8888888888888888,0.8368200836820083,0.16317991631799164,0.1111111111111111
1,Wireless Connectivity,241,180,61,59,1096,0.7468879668049793,0.7531380753138075,0.24686192468619247,0.25311203319502074
2,Windows Compatibility,132,109,23,6,1258,0.8257575757575758,0.9478260869565217,0.05217391304347826,0.17424242424242425
3,Selling Price,84,61,23,11,1301,0.7261904761904762,0.8472222222222222,0.1527777777777778,0.27380952380952384
4,Paper Feed,81,59,22,21,1294,0.7283950617283951,0.7375,0.2625,0.2716049382716049
5,Overall Print Quality,121,80,41,29,1246,0.6611570247933884,0.7339449541284404,0.26605504587155965,0.33884297520661155
6,Non-specific/Unknown,109,86,23,11,1276,0.7889908256880734,0.8865979381443299,0.1134020618556701,0.21100917431192662
7,iOS Compatibility,105,78,27,12,1279,0.7428571428571429,0.8666666666666667,0.13333333333333333,0.2571428571428571
8,Ink Consumption,123,100,23,37,1236,0.8130081300813008,0.7299270072992701,0.27007299270072993,0.18699186991869918
9,Competitor Product Comparison,87,67,20,7,1302,0.7701149425287356,0.9054054054054054,0.0945945945945946,0.22988505747126436
10,Audible Noise,90,65,25,15,1291,0.7222222222222222,0.8125,0.1875,0.2777777777777778
11,Overall Customer Service,76,62,14,12,1308,0.8157894736842105,0.8378378378378378,0.16216216216216217,0.18421052631578946
12,Cloud Connectivity,44,26,18,9,1343,0.5909090909090909,0.7428571428571429,0.2571428571428571,0.4090909090909091
13,Paper Jam,31,18,13,8,1357,0.5806451612903226,0.6923076923076923,0.3076923076923077,0.41935483870967744
14,Color Print Quality,46,23,23,12,1338,0.5,0.6571428571428571,0.34285714285714286,0.5
15,Monochrome Print Quality,32,20,12,13,1351,0.625,0.6060606060606061,0.3939393939393939,0.375
16,Build Quality,78,40,38,19,1299,0.5128205128205128,0.6779661016949152,0.3220338983050847,0.48717948717948717
17,Print Speed,49,16,33,3,1344,0.32653061224489793,0.8421052631578947,0.15789473684210525,0.673469387755102
18,CD/DVD Printing,8,0,8,0,1388,NA,NA,NA,NA
19,Initialization Speed,70,45,25,12,1314,0.6428571428571429,0.7894736842105263,0.21052631578947367,0.35714285714285715
20,Driver Performance,46,32,14,16,1334,0.6956521739130435,0.6666666666666666,0.3333333333333333,0.30434782608695654
