,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,200,25,20,1151,0.8888888888888888,0.9090909090909091,0.09090909090909091,0.1111111111111111
1,Wireless Connectivity,241,174,67,42,1113,0.7219917012448133,0.8055555555555556,0.19444444444444445,0.27800829875518673
2,Windows Compatibility,132,119,13,11,1253,0.9015151515151515,0.9153846153846154,0.08461538461538462,0.09848484848484848
3,Selling Price,84,60,24,14,1298,0.7142857142857143,0.8108108108108109,0.1891891891891892,0.2857142857142857
4,Paper Feed,81,54,27,24,1291,0.6666666666666666,0.6923076923076923,0.3076923076923077,0.3333333333333333
5,Overall Print Quality,121,88,33,32,1243,0.7272727272727273,0.7333333333333333,0.26666666666666666,0.2727272727272727
6,Non-specific/Unknown,109,87,22,7,1280,0.7981651376146789,0.925531914893617,0.07446808510638298,0.2018348623853211
7,iOS Compatibility,105,81,24,10,1281,0.7714285714285715,0.8901098901098901,0.10989010989010989,0.22857142857142856
8,Ink Consumption,123,96,27,19,1254,0.7804878048780488,0.8347826086956521,0.16521739130434782,0.21951219512195122
9,Competitor Product Comparison,87,73,14,4,1305,0.8390804597701149,0.948051948051948,0.05194805194805195,0.16091954022988506
10,Audible Noise,90,73,17,8,1298,0.8111111111111111,0.9012345679012346,0.09876543209876543,0.18888888888888888
11,Overall Customer Service,76,69,7,6,1314,0.9078947368421053,0.92,0.08,0.09210526315789473
12,Cloud Connectivity,44,21,23,8,1344,0.4772727272727273,0.7241379310344828,0.27586206896551724,0.5227272727272727
13,Paper Jam,31,22,9,8,1357,0.7096774193548387,0.7333333333333333,0.26666666666666666,0.2903225806451613
14,Color Print Quality,46,28,18,11,1339,0.6086956521739131,0.717948717948718,0.28205128205128205,0.391304347826087
15,Monochrome Print Quality,32,18,14,16,1348,0.5625,0.5294117647058824,0.47058823529411764,0.4375
16,Build Quality,78,48,30,19,1299,0.6153846153846154,0.7164179104477612,0.2835820895522388,0.38461538461538464
17,Print Speed,49,21,28,10,1337,0.42857142857142855,0.6774193548387096,0.3225806451612903,0.5714285714285714
18,CD/DVD Printing,8,0,8,1,1387,0.0,0.0,1.0,1.0
19,Initialization Speed,70,46,24,20,1306,0.6571428571428571,0.696969696969697,0.30303030303030304,0.34285714285714286
20,Driver Performance,46,36,10,10,1340,0.782608695652174,0.782608695652174,0.21739130434782608,0.21739130434782608
