,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,204,21,75,1096,0.9066666666666666,0.7311827956989247,0.26881720430107525,0.09333333333333334
1,Wireless Connectivity,241,124,117,144,1011,0.5145228215767634,0.4626865671641791,0.5373134328358209,0.4854771784232365
2,Windows Compatibility,132,42,90,4,1260,0.3181818181818182,0.9130434782608695,0.08695652173913043,0.6818181818181818
3,Selling Price,84,53,31,31,1281,0.6309523809523809,0.6309523809523809,0.36904761904761907,0.36904761904761907
4,Paper Feed,81,39,42,17,1298,0.48148148148148145,0.6964285714285714,0.30357142857142855,0.5185185185185185
5,Overall Print Quality,121,85,36,63,1212,0.7024793388429752,0.5743243243243243,0.42567567567567566,0.2975206611570248
6,Non-specific/Unknown,109,80,29,2,1285,0.7339449541284404,0.975609756097561,0.024390243902439025,0.26605504587155965
7,iOS Compatibility,105,93,12,16,1275,0.8857142857142857,0.8532110091743119,0.14678899082568808,0.11428571428571428
8,Ink Consumption,123,88,35,19,1254,0.7154471544715447,0.822429906542056,0.17757009345794392,0.2845528455284553
9,Competitor Product Comparison,87,71,16,19,1290,0.8160919540229885,0.7888888888888889,0.2111111111111111,0.1839080459770115
10,Audible Noise,90,28,62,42,1264,0.3111111111111111,0.4,0.6,0.6888888888888889
11,Overall Customer Service,76,28,48,2,1318,0.3684210526315789,0.9333333333333333,0.06666666666666667,0.631578947368421
12,Cloud Connectivity,44,28,16,75,1277,0.6363636363636364,0.27184466019417475,0.7281553398058253,0.36363636363636365
13,Paper Jam,31,1,30,0,1365,0.03225806451612903,1.0,0.0,0.967741935483871
14,Color Print Quality,46,12,34,11,1339,0.2608695652173913,0.5217391304347826,0.4782608695652174,0.7391304347826086
15,Monochrome Print Quality,32,5,27,0,1364,0.15625,1.0,0.0,0.84375
16,Build Quality,78,9,69,20,1298,0.11538461538461539,0.3103448275862069,0.6896551724137931,0.8846153846153846
17,Print Speed,49,8,41,5,1342,0.16326530612244897,0.6153846153846154,0.38461538461538464,0.8367346938775511
18,CD/DVD Printing,8,0,8,0,1388,NA,NA,NA,NA
19,Initialization Speed,70,16,54,13,1313,0.22857142857142856,0.5517241379310345,0.4482758620689655,0.7714285714285715
20,Driver Performance,46,11,35,18,1332,0.2391304347826087,0.3793103448275862,0.6206896551724138,0.7608695652173914
