,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,204,21,14,1157,0.9066666666666666,0.9357798165137615,0.06422018348623854,0.09333333333333334
1,Wireless Connectivity,241,162,79,34,1121,0.6721991701244814,0.826530612244898,0.17346938775510204,0.3278008298755187
2,Windows Compatibility,132,123,9,3,1261,0.9318181818181818,0.9761904761904762,0.023809523809523808,0.06818181818181818
3,Selling Price,84,62,22,18,1294,0.7380952380952381,0.775,0.225,0.2619047619047619
4,Paper Feed,81,56,25,14,1301,0.691358024691358,0.8,0.2,0.30864197530864196
5,Overall Print Quality,121,86,35,37,1238,0.7107438016528925,0.6991869918699187,0.3008130081300813,0.2892561983471074
6,Non-specific/Unknown,109,98,11,9,1278,0.8990825688073395,0.9158878504672897,0.08411214953271028,0.10091743119266056
7,iOS Compatibility,105,91,14,16,1275,0.8666666666666667,0.8504672897196262,0.14953271028037382,0.13333333333333333
8,Ink Consumption,123,94,29,21,1252,0.7642276422764228,0.8173913043478261,0.1826086956521739,0.23577235772357724
9,Competitor Product Comparison,87,78,9,4,1305,0.896551724137931,0.9512195121951219,0.04878048780487805,0.10344827586206896
10,Audible Noise,90,66,24,11,1295,0.7333333333333333,0.8571428571428571,0.14285714285714285,0.26666666666666666
11,Overall Customer Service,76,67,9,15,1305,0.881578947368421,0.8170731707317073,0.18292682926829268,0.11842105263157894
12,Cloud Connectivity,44,28,16,9,1343,0.6363636363636364,0.7567567567567568,0.24324324324324326,0.36363636363636365
13,Paper Jam,31,18,13,6,1359,0.5806451612903226,0.75,0.25,0.41935483870967744
14,Color Print Quality,46,26,20,11,1339,0.5652173913043478,0.7027027027027027,0.2972972972972973,0.43478260869565216
15,Monochrome Print Quality,32,19,13,6,1358,0.59375,0.76,0.24,0.40625
16,Build Quality,78,34,44,15,1303,0.4358974358974359,0.6938775510204082,0.30612244897959184,0.5641025641025641
17,Print Speed,49,23,26,7,1340,0.46938775510204084,0.7666666666666667,0.23333333333333334,0.5306122448979592
18,CD/DVD Printing,8,0,8,5,1383,0.0,0.0,1.0,1.0
19,Initialization Speed,70,46,24,19,1307,0.6571428571428571,0.7076923076923077,0.2923076923076923,0.34285714285714286
20,Driver Performance,46,25,21,1,1349,0.5434782608695652,0.9615384615384616,0.038461538461538464,0.45652173913043476
