,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,200,25,19,1152,0.8888888888888888,0.91324200913242,0.0867579908675799,0.1111111111111111
1,Wireless Connectivity,241,192,49,55,1100,0.7966804979253111,0.7773279352226721,0.22267206477732793,0.2033195020746888
2,Windows Compatibility,132,115,17,9,1255,0.8712121212121212,0.9274193548387096,0.07258064516129033,0.12878787878787878
3,Selling Price,84,64,20,25,1287,0.7619047619047619,0.7191011235955056,0.2808988764044944,0.23809523809523808
4,Paper Feed,81,58,23,17,1298,0.7160493827160493,0.7733333333333333,0.22666666666666666,0.2839506172839506
5,Overall Print Quality,121,81,40,30,1245,0.6694214876033058,0.7297297297297297,0.2702702702702703,0.3305785123966942
6,Non-specific/Unknown,109,89,20,7,1280,0.8165137614678899,0.9270833333333334,0.07291666666666667,0.1834862385321101
7,iOS Compatibility,105,84,21,2,1289,0.8,0.9767441860465116,0.023255813953488372,0.2
8,Ink Consumption,123,111,12,45,1228,0.9024390243902439,0.7115384615384616,0.28846153846153844,0.0975609756097561
9,Competitor Product Comparison,87,73,14,9,1300,0.8390804597701149,0.8902439024390244,0.10975609756097561,0.16091954022988506
10,Audible Noise,90,64,26,29,1277,0.7111111111111111,0.6881720430107527,0.3118279569892473,0.28888888888888886
11,Overall Customer Service,76,65,11,9,1311,0.8552631578947368,0.8783783783783784,0.12162162162162163,0.14473684210526316
12,Cloud Connectivity,44,23,21,5,1347,0.5227272727272727,0.8214285714285714,0.17857142857142858,0.4772727272727273
13,Paper Jam,31,16,15,10,1355,0.5161290322580645,0.6153846153846154,0.38461538461538464,0.4838709677419355
14,Color Print Quality,46,18,28,6,1344,0.391304347826087,0.75,0.25,0.6086956521739131
15,Monochrome Print Quality,32,18,14,8,1356,0.5625,0.6923076923076923,0.3076923076923077,0.4375
16,Build Quality,78,44,34,32,1286,0.5641025641025641,0.5789473684210527,0.42105263157894735,0.4358974358974359
17,Print Speed,49,22,27,13,1334,0.4489795918367347,0.6285714285714286,0.37142857142857144,0.5510204081632653
18,CD/DVD Printing,8,0,8,3,1385,0.0,0.0,1.0,1.0
19,Initialization Speed,70,57,13,35,1291,0.8142857142857143,0.6195652173913043,0.3804347826086957,0.18571428571428572
20,Driver Performance,46,35,11,11,1339,0.7608695652173914,0.7608695652173914,0.2391304347826087,0.2391304347826087
