,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,212,13,16,1155,0.9422222222222222,0.9298245614035088,0.07017543859649122,0.057777777777777775
1,Wireless Connectivity,241,181,60,35,1120,0.7510373443983402,0.8379629629629629,0.16203703703703703,0.24896265560165975
2,Windows Compatibility,132,119,13,7,1257,0.9015151515151515,0.9444444444444444,0.05555555555555555,0.09848484848484848
3,Selling Price,84,65,19,11,1301,0.7738095238095238,0.8552631578947368,0.14473684210526316,0.2261904761904762
4,Paper Feed,81,59,22,21,1294,0.7283950617283951,0.7375,0.2625,0.2716049382716049
5,Overall Print Quality,121,84,37,39,1236,0.6942148760330579,0.6829268292682927,0.3170731707317073,0.30578512396694213
6,Non-specific/Unknown,109,100,9,15,1272,0.9174311926605505,0.8695652173913043,0.13043478260869565,0.08256880733944955
7,iOS Compatibility,105,85,20,3,1288,0.8095238095238095,0.9659090909090909,0.03409090909090909,0.19047619047619047
8,Ink Consumption,123,92,31,17,1256,0.7479674796747967,0.8440366972477065,0.1559633027522936,0.25203252032520324
9,Competitor Product Comparison,87,75,12,9,1300,0.8620689655172413,0.8928571428571429,0.10714285714285714,0.13793103448275862
10,Audible Noise,90,29,61,1,1305,0.32222222222222224,0.9666666666666667,0.03333333333333333,0.6777777777777778
11,Overall Customer Service,76,62,14,6,1314,0.8157894736842105,0.9117647058823529,0.08823529411764706,0.18421052631578946
12,Cloud Connectivity,44,22,22,4,1348,0.5,0.8461538461538461,0.15384615384615385,0.5
13,Paper Jam,31,18,13,7,1358,0.5806451612903226,0.72,0.28,0.41935483870967744
14,Color Print Quality,46,26,20,19,1331,0.5652173913043478,0.5777777777777777,0.4222222222222222,0.43478260869565216
15,Monochrome Print Quality,32,13,19,9,1355,0.40625,0.5909090909090909,0.4090909090909091,0.59375
16,Build Quality,78,34,44,28,1290,0.4358974358974359,0.5483870967741935,0.45161290322580644,0.5641025641025641
17,Print Speed,49,20,29,11,1336,0.40816326530612246,0.6451612903225806,0.3548387096774194,0.5918367346938775
18,CD/DVD Printing,8,1,7,4,1384,0.125,0.2,0.8,0.875
19,Initialization Speed,70,53,17,25,1301,0.7571428571428571,0.6794871794871795,0.32051282051282054,0.24285714285714285
20,Driver Performance,46,41,5,22,1328,0.8913043478260869,0.6507936507936508,0.3492063492063492,0.10869565217391304
