lstm-units hidden-units activation-function accuracy precision recall f1
32 0 relu 0.8661567877629063 0.8751020081492186 0.7982832618025751 0.8347559807616571
32 0 tanh 0.8374760994263862 0.8093043633762518 0.8326180257510729 0.8150824965692252
32 50 relu 0.8747609942638623 0.8750943396226414 0.8218884120171673 0.8475131797826639
32 50 tanh 0.8632887189292543 0.8768945131215792 0.7854077253218884 0.8286118823827353
32 100 relu 0.864244741873805 0.8508366693385802 0.8154506437768241 0.8325936692823681
32 100 tanh 0.8565965583173997 0.8553339226189843 0.7875536480686696 0.8185349024914095
32 200 relu 0.8575525812619503 0.8876087341439967 0.7532188841201717 0.8116587116218675
32 200 tanh 0.8652007648183556 0.8693045814578318 0.8025751072961373 0.8345901199111722
32 300 relu 0.8747609942638623 0.8615272491699733 0.8454935622317596 0.8533619456366237
32 300 tanh 0.8489483747609943 0.8150456091777417 0.8154506437768241 0.8152329799532887
32 500 relu 0.8489483747609943 0.8408756314057969 0.796137339055794 0.816049167155551
32 500 tanh 0.858508604206501 0.8590574942787814 0.7982832618025751 0.8271925805396476
32 1000 relu 0.7074569789674953 0.6844877920796675 0.9034334763948498 0.7492991754362112
32 1000 tanh 0.858508604206501 0.8703280455488508 0.776824034334764 0.8206835610314945
32 1500 relu 0.8661567877629063 0.8635602964447125 0.8154506437768241 0.8388158849806219
32 1500 tanh 0.8556405353728489 0.870385350771922 0.7703862660944206 0.8159517081311076
32 2000 relu 0.847036328871893 0.8432346961825163 0.7832618025751072 0.8110541191248822
32 2000 tanh 0.8632887189292543 0.8959271262152929 0.7639484978540773 0.8238012933796827
64 0 relu 0.8766730401529637 0.8660559861636026 0.8283261802575107 0.8463396980416544
64 0 tanh 0.8594646271510517 0.8744635193133047 0.7618025751072961 0.8138713932705348
64 50 relu 0.8776290630975143 0.8337802276255386 0.8927038626609443 0.8622353662495043
64 50 tanh 0.8317399617590823 0.852830267078538 0.7274678111587983 0.7791151057023485
64 100 relu 0.8671128107074569 0.8702312827849309 0.8090128755364807 0.8378538420275633
64 100 tanh 0.8623326959847036 0.8709812009130404 0.778969957081545 0.8220583953944834
64 200 relu 0.8393881453154876 0.9330791445351817 0.6781115879828327 0.7629668184277741
64 200 tanh 0.858508604206501 0.8706152593419644 0.7811158798283262 0.8232002062033547
64 300 relu 0.8393881453154876 0.9360613358889953 0.6630901287553648 0.759146288642319
64 300 tanh 0.8690248565965584 0.8641145283051499 0.8133047210300429 0.8378621433450668
64 500 relu 0.875717017208413 0.8922368855449948 0.8004291845493562 0.8431302111890492
64 500 tanh 0.8718929254302104 0.892215882670341 0.7918454935622318 0.8389600881081988
64 1000 relu 0.8862332695984704 0.8976469689391493 0.8218884120171673 0.8579348885828869
64 1000 tanh 0.8632887189292543 0.8741766109413437 0.7896995708154506 0.829513599604719
64 1500 relu 0.8747609942638623 0.881911510986269 0.8068669527896996 0.8417618895544321
64 1500 tanh 0.8680688336520076 0.8746420961013236 0.8047210300429185 0.838064302109014
64 2000 relu 0.8680688336520076 0.8684761602332634 0.8111587982832618 0.8388276072042138
64 2000 tanh 0.8604206500956023 0.8777499349829231 0.7725321888412017 0.8213057683340834
128 0 relu 0.884321223709369 0.8875659674225557 0.8304721030042919 0.8580702425442159
128 0 tanh 0.8814531548757171 0.8852486182940531 0.8326180257510729 0.8581049851436118
128 50 relu 0.8221797323135756 0.7858253326386995 0.8733905579399142 0.8171409776616463
128 50 tanh 0.8661567877629063 0.8777944509529713 0.8068669527896996 0.8348151108485421
128 100 relu 0.8518164435946463 0.8607647514528365 0.778969957081545 0.8174417283692078
128 100 tanh 0.8709369024856597 0.8758567129678568 0.8047210300429185 0.8387792936986304
128 200 relu 0.8403441682600382 0.9233384459241121 0.6759656652360515 0.7684375788942186
