lstm-units hidden-units activation-function accuracy precision recall f1
32 0 relu 0.7810707456978967 0.8264326507563875 0.7906295754026355 0.8065047511122603
32 0 tanh 0.777246653919694 0.8340532863679224 0.7818448023426061 0.7995571891366973
32 50 relu 0.731357552581262 0.7626650478925803 0.7247437774524158 0.7331401879114604
32 50 tanh 0.7552581261950286 0.9026650272797562 0.6793557833089312 0.7490873657051954
32 100 relu 0.8097514340344169 0.8787623478250113 0.7774524158125915 0.8248986708390483
32 100 tanh 0.7992351816443595 0.866507932521713 0.7818448023426061 0.8205379435701354
32 200 relu 0.7992351816443595 0.8750088112985107 0.7818448023426061 0.8243698762042752
32 200 tanh 0.8183556405353728 0.876523147196293 0.7935578330893118 0.8310424700132757
32 300 relu 0.8288718929254302 0.8860126820758899 0.8096632503660323 0.8450563118903113
32 300 tanh 0.7982791586998088 0.8771197764182702 0.7525622254758418 0.8083798298482148
32 500 relu 0.7782026768642447 0.8622278365568563 0.7496339677891655 0.7910672924114347
32 500 tanh 0.8030592734225621 0.8582505191696909 0.7979502196193266 0.8260298561171072
32 1000 relu 0.8068833652007649 0.8705848215966713 0.7847730600292826 0.82211793461051
32 1000 tanh 0.7055449330783938 0.8310283097120338 0.6852122986822841 0.6903582927352057
32 1500 relu 0.8154875717017208 0.870825513886755 0.8096632503660323 0.8386416520673446
32 1500 tanh 0.7581261950286807 0.8747583797548169 0.7013177159590044 0.7509577385654346
32 2000 relu 0.8059273422562141 0.8506056585898665 0.8111273792093704 0.82476242947275
32 2000 tanh 0.7887189292543021 0.853335882704258 0.7935578330893118 0.8212254077922981
64 0 relu 0.780114722753346 0.8369527810768599 0.8067349926793558 0.8128616234670619
64 0 tanh 0.7925430210325047 0.8268016941623053 0.8374816983894583 0.8269279940135048
64 50 relu 0.8269598470363289 0.9095101933931541 0.7935578330893118 0.8428152915965479
64 50 tanh 0.8097514340344169 0.8736910496743613 0.8067349926793558 0.8384755548691148
64 100 relu 0.8374760994263862 0.8735375478369792 0.8535871156661786 0.8632821965564511
64 100 tanh 0.8240917782026769 0.8753225047814811 0.8301610541727672 0.8521207484335809
64 200 relu 0.844168260038241 0.9097648971514604 0.8184480234260615 0.8593963720477744
64 200 tanh 0.8374760994263862 0.8997145786512719 0.821376281112738 0.8577443040369647
64 300 relu 0.8279158699808795 0.8777949151018627 0.8272327964860908 0.8504227474789496
64 300 tanh 0.7934990439770554 0.8850427024833785 0.7584187408491947 0.8060230275818088
64 500 relu 0.8422562141491395 0.897255224873691 0.828696925329429 0.8604717313602043
64 500 tanh 0.8403441682600382 0.8953155901864581 0.8301610541727672 0.8605427554290976
64 1000 relu 0.8317399617590823 0.8737351473319153 0.8404099560761347 0.8534018715819075
64 1000 tanh 0.8317399617590823 0.8889470592949863 0.821376281112738 0.8515607016224598
64 1500 relu 0.8193116634799236 0.8854202208211742 0.8023426061493412 0.8405543324498205
64 1500 tanh 0.8126195028680688 0.9006135580577714 0.7818448023426061 0.8348232373059222
64 2000 relu 0.7934990439770554 0.8383089068431979 0.8301610541727672 0.8291775266716533
64 2000 tanh 0.7533460803059273 0.8202074367870811 0.7833089311859444 0.7640631660474287
128 0 relu 0.8374760994263862 0.9165069634252471 0.808199121522694 0.8568790404346825
128 0 tanh 0.8326959847036329 0.8662875137843506 0.849194729136164 0.8573647922549068
128 50 relu 0.8250478011472275 0.8716407961649544 0.8433382137628112 0.8532764603403946
128 50 tanh 0.847036328871893 0.8963007965307259 0.849194729136164 0.8719508181085447
128 100 relu 0.8355640535372849 0.8776537906913379 0.8594436310395315 0.8662492792704378
128 100 tanh 0.8279158699808795 0.9103907020387776 0.7935578330893118 0.8452598019823838
128 200 relu 0.8527724665391969 0.8790808350039544 0.8828696925329429 0.8802756730277849
128 200 tanh 0.8413001912045889 0.9038389034722485 0.8301610541727672 0.8639957438678861
128 300 relu 0.8279158699808795 0.8860131682662543 0.8301610541727672 0.8521239217085714
128 300 tanh 0.8422562141491395 0.9001829223951738 0.8345534407027818 0.8647738924162804
128 500 relu 0.8164435946462715 0.8772845338788895 0.8125915080527086 0.8273952804121923
128 500 tanh 0.8212237093690249 0.9180888093676107 0.7686676427525623 0.826582902352473
128 1000 relu 0.7992351816443595 0.885183200531941 0.7701317715959004 0.8160197219114212
128 1000 tanh 0.8240917782026769 0.9145229959430613 0.7818448023426061 0.8390457335718974
128 1500 relu 0.8240917782026769 0.8827639156075465 0.8169838945827232 0.8478819779873169
128 1500 tanh 0.8317399617590823 0.8985774458419098 0.808199121522694 0.8495929426031915
128 2000 relu 0.7552581261950286 0.7886379100817925 0.8857979502196194 0.8252083912643414
128 2000 tanh 0.8145315487571702 0.9032772581391207 0.7701317715959004 0.8298416120593791
256 0 relu 0.7638623326959847 0.8458910877663728 0.7833089311859444 0.7892967720666856
256 0 tanh 0.844168260038241 0.8870416120829159 0.8462664714494875 0.8656508055674529
256 50 relu 0.8001912045889101 0.9089348807981393 0.7613469985358712 0.8126656986170757
256 50 tanh 0.8489483747609943 0.9370807239970304 0.8155197657393851 0.8667245255648031
256 100 relu 0.8001912045889101 0.90158994653819 0.7540263543191801 0.7987735586281276
256 100 tanh 0.858508604206501 0.904797039340682 0.8535871156661786 0.8758543789347726
256 200 relu 0.8652007648183556 0.9040394052532148 0.8711566617862372 0.8872196271711226
256 200 tanh 0.8374760994263862 0.9036408394801578 0.821376281112738 0.8514466731342794
256 300 relu 0.748565965583174 0.8545868887046254 0.7906295754026355 0.7892963154610992
256 300 tanh 0.8068833652007649 0.845953658297432 0.8594436310395315 0.8475601868074119
