,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,205,20,20,1151,0.9111111111111111,0.9111111111111111,0.08888888888888889,0.08888888888888889
1,Wireless Connectivity,241,189,52,49,1106,0.7842323651452282,0.7941176470588235,0.20588235294117646,0.2157676348547718
2,Windows Compatibility,132,116,16,8,1256,0.8787878787878788,0.9354838709677419,0.06451612903225806,0.12121212121212122
3,Selling Price,84,67,17,19,1293,0.7976190476190477,0.7790697674418605,0.22093023255813954,0.20238095238095238
4,Paper Feed,81,60,21,19,1296,0.7407407407407407,0.759493670886076,0.24050632911392406,0.25925925925925924
5,Overall Print Quality,121,75,46,23,1252,0.6198347107438017,0.7653061224489796,0.23469387755102042,0.38016528925619836
6,Non-specific/Unknown,109,88,21,5,1282,0.8073394495412844,0.946236559139785,0.053763440860215055,0.1926605504587156
7,iOS Compatibility,105,85,20,5,1286,0.8095238095238095,0.9444444444444444,0.05555555555555555,0.19047619047619047
8,Ink Consumption,123,96,27,24,1249,0.7804878048780488,0.8,0.2,0.21951219512195122
9,Competitor Product Comparison,87,77,10,9,1300,0.8850574712643678,0.8953488372093024,0.10465116279069768,0.11494252873563218
10,Audible Noise,90,59,31,5,1301,0.6555555555555556,0.921875,0.078125,0.34444444444444444
11,Overall Customer Service,76,65,11,14,1306,0.8552631578947368,0.8227848101265823,0.17721518987341772,0.14473684210526316
12,Cloud Connectivity,44,28,16,9,1343,0.6363636363636364,0.7567567567567568,0.24324324324324326,0.36363636363636365
13,Paper Jam,31,20,11,5,1360,0.6451612903225806,0.8,0.2,0.3548387096774194
14,Color Print Quality,46,24,22,11,1339,0.5217391304347826,0.6857142857142857,0.3142857142857143,0.4782608695652174
15,Monochrome Print Quality,32,21,11,11,1353,0.65625,0.65625,0.34375,0.34375
16,Build Quality,78,52,26,26,1292,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
17,Print Speed,49,27,22,13,1334,0.5510204081632653,0.675,0.325,0.4489795918367347
18,CD/DVD Printing,8,3,5,3,1385,0.375,0.5,0.5,0.625
19,Initialization Speed,70,49,21,22,1304,0.7,0.6901408450704225,0.30985915492957744,0.3
20,Driver Performance,46,38,8,11,1339,0.8260869565217391,0.7755102040816326,0.22448979591836735,0.17391304347826086
