,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,214,11,21,1150,0.9511111111111111,0.9106382978723404,0.08936170212765958,0.04888888888888889
1,Wireless Connectivity,241,181,60,29,1126,0.7510373443983402,0.861904761904762,0.1380952380952381,0.24896265560165975
2,Windows Compatibility,132,119,13,1,1263,0.9015151515151515,0.9916666666666667,0.008333333333333333,0.09848484848484848
3,Selling Price,84,64,20,8,1304,0.7619047619047619,0.8888888888888888,0.1111111111111111,0.23809523809523808
4,Paper Feed,81,68,13,36,1279,0.8395061728395061,0.6538461538461539,0.34615384615384615,0.16049382716049382
5,Overall Print Quality,121,84,37,30,1245,0.6942148760330579,0.7368421052631579,0.2631578947368421,0.30578512396694213
6,Non-specific/Unknown,109,95,14,6,1281,0.8715596330275229,0.9405940594059405,0.0594059405940594,0.12844036697247707
7,iOS Compatibility,105,85,20,2,1289,0.8095238095238095,0.9770114942528736,0.022988505747126436,0.19047619047619047
8,Ink Consumption,123,105,18,26,1247,0.8536585365853658,0.8015267175572519,0.1984732824427481,0.14634146341463414
9,Competitor Product Comparison,87,79,8,3,1306,0.9080459770114943,0.9634146341463414,0.036585365853658534,0.09195402298850575
10,Audible Noise,90,64,26,6,1300,0.7111111111111111,0.9142857142857143,0.08571428571428572,0.28888888888888886
11,Overall Customer Service,76,65,11,9,1311,0.8552631578947368,0.8783783783783784,0.12162162162162163,0.14473684210526316
12,Cloud Connectivity,44,31,13,5,1347,0.7045454545454546,0.8611111111111112,0.1388888888888889,0.29545454545454547
13,Paper Jam,31,18,13,3,1362,0.5806451612903226,0.8571428571428571,0.14285714285714285,0.41935483870967744
14,Color Print Quality,46,24,22,16,1334,0.5217391304347826,0.6,0.4,0.4782608695652174
15,Monochrome Print Quality,32,17,15,6,1358,0.53125,0.7391304347826086,0.2608695652173913,0.46875
16,Build Quality,78,41,37,13,1305,0.5256410256410257,0.7592592592592593,0.24074074074074073,0.47435897435897434
17,Print Speed,49,25,24,8,1339,0.5102040816326531,0.7575757575757576,0.24242424242424243,0.4897959183673469
18,CD/DVD Printing,8,1,7,2,1386,0.125,0.3333333333333333,0.6666666666666666,0.875
19,Initialization Speed,70,51,19,17,1309,0.7285714285714285,0.75,0.25,0.2714285714285714
20,Driver Performance,46,37,9,4,1346,0.8043478260869565,0.9024390243902439,0.0975609756097561,0.1956521739130435
