,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,209,16,27,1144,0.9288888888888889,0.885593220338983,0.11440677966101695,0.07111111111111111
1,Wireless Connectivity,241,185,56,50,1105,0.7676348547717843,0.7872340425531915,0.2127659574468085,0.23236514522821577
2,Windows Compatibility,132,119,13,9,1255,0.9015151515151515,0.9296875,0.0703125,0.09848484848484848
3,Selling Price,84,65,19,16,1296,0.7738095238095238,0.8024691358024691,0.19753086419753085,0.2261904761904762
4,Paper Feed,81,58,23,20,1295,0.7160493827160493,0.7435897435897436,0.2564102564102564,0.2839506172839506
5,Overall Print Quality,121,91,30,42,1233,0.7520661157024794,0.6842105263157895,0.3157894736842105,0.24793388429752067
6,Non-specific/Unknown,109,89,20,7,1280,0.8165137614678899,0.9270833333333334,0.07291666666666667,0.1834862385321101
7,iOS Compatibility,105,82,23,6,1285,0.780952380952381,0.9318181818181818,0.06818181818181818,0.21904761904761905
8,Ink Consumption,123,95,28,21,1252,0.7723577235772358,0.8189655172413793,0.1810344827586207,0.22764227642276422
9,Competitor Product Comparison,87,75,12,3,1306,0.8620689655172413,0.9615384615384616,0.038461538461538464,0.13793103448275862
10,Audible Noise,90,67,23,11,1295,0.7444444444444445,0.8589743589743589,0.14102564102564102,0.25555555555555554
11,Overall Customer Service,76,63,13,19,1301,0.8289473684210527,0.7682926829268293,0.23170731707317074,0.17105263157894737
12,Cloud Connectivity,44,30,14,11,1341,0.6818181818181818,0.7317073170731707,0.2682926829268293,0.3181818181818182
13,Paper Jam,31,21,10,5,1360,0.6774193548387096,0.8076923076923077,0.19230769230769232,0.3225806451612903
14,Color Print Quality,46,26,20,19,1331,0.5652173913043478,0.5777777777777777,0.4222222222222222,0.43478260869565216
15,Monochrome Print Quality,32,18,14,13,1351,0.5625,0.5806451612903226,0.41935483870967744,0.4375
16,Build Quality,78,47,31,14,1304,0.6025641025641025,0.7704918032786885,0.22950819672131148,0.3974358974358974
17,Print Speed,49,22,27,19,1328,0.4489795918367347,0.5365853658536586,0.4634146341463415,0.5510204081632653
18,CD/DVD Printing,8,1,7,4,1384,0.125,0.2,0.8,0.875
19,Initialization Speed,70,45,25,14,1312,0.6428571428571429,0.7627118644067796,0.23728813559322035,0.35714285714285715
20,Driver Performance,46,36,10,13,1337,0.782608695652174,0.7346938775510204,0.2653061224489796,0.21739130434782608
