,subtopic,TotalGroundTruth,YesYes,YesNo,NoYes,NoNo,Recall,Precision,FalsePositive%,FalseNegative%
0,Wireless Setup,225,199,26,17,1154,0.8844444444444445,0.9212962962962963,0.0787037037037037,0.11555555555555555
1,Wireless Connectivity,241,176,65,39,1116,0.7302904564315352,0.8186046511627907,0.1813953488372093,0.2697095435684647
2,Windows Compatibility,132,116,16,7,1257,0.8787878787878788,0.943089430894309,0.056910569105691054,0.12121212121212122
3,Selling Price,84,67,17,12,1300,0.7976190476190477,0.8481012658227848,0.1518987341772152,0.20238095238095238
4,Paper Feed,81,63,18,21,1294,0.7777777777777778,0.75,0.25,0.2222222222222222
5,Overall Print Quality,121,86,35,46,1229,0.7107438016528925,0.6515151515151515,0.3484848484848485,0.2892561983471074
6,Non-specific/Unknown,109,90,19,9,1278,0.8256880733944955,0.9090909090909091,0.09090909090909091,0.1743119266055046
7,iOS Compatibility,105,85,20,8,1283,0.8095238095238095,0.9139784946236559,0.08602150537634409,0.19047619047619047
8,Ink Consumption,123,106,17,25,1248,0.8617886178861789,0.8091603053435115,0.19083969465648856,0.13821138211382114
9,Competitor Product Comparison,87,73,14,6,1303,0.8390804597701149,0.9240506329113924,0.0759493670886076,0.16091954022988506
10,Audible Noise,90,65,25,6,1300,0.7222222222222222,0.9154929577464789,0.08450704225352113,0.2777777777777778
11,Overall Customer Service,76,66,10,9,1311,0.868421052631579,0.88,0.12,0.13157894736842105
12,Cloud Connectivity,44,33,11,6,1346,0.75,0.8461538461538461,0.15384615384615385,0.25
13,Paper Jam,31,20,11,4,1361,0.6451612903225806,0.8333333333333334,0.16666666666666666,0.3548387096774194
14,Color Print Quality,46,24,22,12,1338,0.5217391304347826,0.6666666666666666,0.3333333333333333,0.4782608695652174
15,Monochrome Print Quality,32,20,12,8,1356,0.625,0.7142857142857143,0.2857142857142857,0.375
16,Build Quality,78,42,36,17,1301,0.5384615384615384,0.711864406779661,0.288135593220339,0.46153846153846156
17,Print Speed,49,20,29,5,1342,0.40816326530612246,0.8,0.2,0.5918367346938775
18,CD/DVD Printing,8,1,7,3,1385,0.125,0.25,0.75,0.875
19,Initialization Speed,70,45,25,18,1308,0.6428571428571429,0.7142857142857143,0.2857142857142857,0.35714285714285715
20,Driver Performance,46,40,6,20,1330,0.8695652173913043,0.6666666666666666,0.3333333333333333,0.13043478260869565
